考区,单位名称,单位层级,职位名称,专业要求,职位性质,职位简介,申论考试类别,报考人员身份要求,招录人数,基层工作年限要求,性别要求,最低学历要求,最高年龄要求,学位要求,户籍要求,职业资格证书等要求,其他招录条件及说明,最低服务年限要求,笔试最低开考比例,是否需体能测评,体检标准,咨询电话1,咨询电话2,年份,最低入面分数,行测成绩,申论成绩
长沙,长沙市交通运输局,市州直机关,安全监督,"土建类,交通运输类,环境与安全类",公务员,从事一线安全执法检查工作,,2021届普通高校毕业生,1,不限,男,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073188151792,,2021,,,
长沙,长沙市交通运输局,市州直机关,文字综合,"文史哲大类,经济和管理学大类,法学大类",公务员,,,不限,1,2年以上,不限,大学本科,35周岁,学士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073188151792,,2021,,,
长沙,长沙市农业农村局,市州直机关,工作人员1,植物生产类,公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073188665631,073188665646,2021,,,
长沙,长沙市农业农村局,市州直机关,工作人员2,植物生产类,公务员,,,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073188665631,073188665646,2021,,,
长沙,长沙市农业农村局,市州直机关,工作人员3,水产类,公务员,,,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073188665631,073188665646,2021,,,
长沙,长沙市农业农村局,市州直机关,工作人员4,不限,公务员,,,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073188665631,073188665646,2021,,,
长沙,长沙市人民政府国有资产监督管理委员会,市州直机关,财务管理,"会计学,财务管理,审计学",公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,不限,5:1,否,公务员录用体检通用标准,073185480982,,2021,,,
长沙,长沙市林业局,市州直机关,林业管理,林学类,公务员,从事森林防火、林业安全生产监管相关工作,,不限,2,不限,男,大学本科,35周岁,学士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073188137735,,2021,,,
长沙,长沙市林业局,市州直机关,文字综合,"文史哲大类,法学大类",公务员,,,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073188137735,,2021,,,
长沙,中国民主同盟长沙市委员会,市州直机关,文字综合,不限,公务员,,,不限,1,不限,不限,研究生,35周岁,硕士,不限,不限,民盟盟员或群众,不限,5:1,否,公务员录用体检通用标准,073185119562,,2021,,,
长沙,长沙市工商业联合会,市州直机关,经济服务,经济和管理学大类,公务员,,,不限,1,2年以上,不限,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,073185112084,,2021,,,
长沙,长沙市岳麓区司法局基层司法所,县市区派驻乡镇街道机关,基层司法所司法助理员,法学类,公务员,从事基层社区矫正、人民调解、法律服务等工作,,2021届普通高校毕业生,1,不限,男,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073188999782,,2021,,,
长沙,长沙市开福区应急管理局,县市区机关,安全专干,"安全工程,应急技术与管理,化工安全工程",公务员,,,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,073184553287,,2021,,,
长沙,长沙市开福区教育局,县市区机关,办公室文秘,"汉语言文学,秘书学,新闻学,广播电视学,传播学,网络与新媒体",公务员,,,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,073182528890,,2021,,,
长沙,长沙市开福区所属街道办事处,乡镇办机关,办事处工作人员,不限,公务员,,,村（社区）干部,2,2年以上,不限,高中或中专,40周岁,不限,不限,不限,本县（市、区）现任村（社区）“两委”成员，且连续任职满3年或累计任职满5年,5年,3:1,否,公务员录用体检通用标准,073184558306,,2021,,,
长沙,长沙市雨花区司法局,县市区派驻乡镇街道机关,基层司法所司法助理员,法学类,公务员,从事矛盾纠纷调解、社区矫正、基层法律服务等工作,,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073185882006,,2021,,,
长沙,长沙市雨花区洞井街道办事处,乡镇办机关,办事处党建专干,不限,公务员,,,乡镇（街道）事业站所工作人员,1,2年以上,不限,大学本科,40周岁,学士,不限,不限,中共党员。在本县（市、区）乡镇（街道）事业站所（含县市区直机关派驻乡镇、街道单位，也包括乡镇、街道机构改革后更名为中心、大队的乡镇、街道所属事业单位）连续工作3年以上、且近3年年度考核均为合格及以上的在编在岗的工作人员,5年,3:1,否,公务员录用体检通用标准,073185882006,,2021,,,
长沙,长沙市望城区所属乡镇（街道）,乡镇办机关,综合管理1,不限,公务员,,,不限,3,不限,男,大学本科,35周岁,学士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073188367052,,2021,,,
长沙,长沙市望城区所属乡镇（街道）,乡镇办机关,综合管理2,不限,公务员,,,不限,3,不限,女,大学本科,35周岁,学士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073188367052,,2021,,,
长沙,长沙市望城区所属乡镇（街道）,乡镇办机关,综合管理3,不限,公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073188367052,,2021,,,
长沙,长沙市望城区所属乡镇（街道）,乡镇办机关,综合管理4,不限,公务员,,,村（社区）干部,2,2年以上,不限,高中或中专,40周岁,不限,不限,不限,本县（市、区）现任村（社区）“两委”成员，且连续任职满3年或累计任职满5年,5年,3:1,否,公务员录用体检通用标准,073188367052,,2021,,,
长沙,长沙市望城区所属乡镇（街道）,乡镇办机关,综合管理5,不限,公务员,,,乡镇（街道）事业站所工作人员,2,2年以上,不限,大学专科,40周岁,不限,不限,不限,在本县（市、区）乡镇（街道）事业站所（含县市区直机关派驻乡镇、街道单位，也包括乡镇、街道机构改革后更名为中心、大队的乡镇、街道所属事业单位）连续工作3年以上、且近3年年度考核均为合格及以上的在编在岗的工作人员,5年,3:1,否,公务员录用体检通用标准,073188367052,,2021,,,
长沙,长沙市望城区所属乡镇（街道）,乡镇办机关,综合管理6,不限,公务员,,,“四项目”人员及大学生退役士兵,1,2年以上,不限,大学本科,35周岁,学士,长沙市,不限,服务期满两年、考核合格的“三支一扶”、“大学生志愿服务西部”计划人员，服务期满三年、考核合格的“大学生村官”、“农村义务教育阶段学校教师特设岗位”计划人员或在军队服役满2年（含）以上的普通高校毕业生退役士兵,5年,5:1,否,公务员录用体检通用标准,073188367052,,2021,,,
长沙,中共浏阳市委办公室,县市区机关,机关工作人员,新闻传播学类,公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073182876255,073183678123,2021,,,
长沙,中共浏阳市委组织部,县市区机关,档案管理,"图书档案管理类,计算机类",公务员,从事档案管理工作,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,中共党员。通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073183678123,073183678123,2021,,,
长沙,浏阳市审计局,县市区机关,机关工作人员1,"经济学类,工商管理类",公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073182876255,073183678123,2021,,,
长沙,浏阳市审计局,县市区机关,机关工作人员2,"经济学类,工商管理类",公务员,,,不限,2,不限,不限,大学本科,35周岁,学士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073182876255,073183678123,2021,,,
长沙,浏阳市自然资源局,县市区机关,机关工作人员,土建类,公务员,,,不限,1,不限,男,大学本科,35周岁,学士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073182876255,073183678123,2021,,,
长沙,浏阳市住房和城乡建设局（浏阳市人民防空办公室）,县市区机关,机关工作人员,土建类,公务员,,,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073182876255,073183678123,2021,,,
长沙,浏阳市文化旅游广电体育局,县市区机关,机关工作人员,"文化产业管理,旅游管理类",公务员,,,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073182876255,073183678123,2021,,,
长沙,浏阳市统计局,县市区机关,机关工作人员,数学与统计类,公务员,,,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073182876255,073183678123,2021,,,
长沙,浏阳市医疗保障局,县市区机关,机关工作人员,临床医学类,公务员,,,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073182876255,073183678123,2021,,,
长沙,浏阳市司法局,县市区派驻乡镇街道机关,基层司法所司法助理员,法学类,公务员,从事司法调解、社区矫正等工作,,不限,4,不限,男,大学本科,35周岁,学士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073182876255,073183678123,2021,,,
长沙,浏阳市市场监督管理局,县市区派驻乡镇街道机关,基层所工作人员1,机械类,公务员,,,不限,2,不限,不限,大学本科,35周岁,学士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073182876255,073183678123,2021,,,
长沙,浏阳市市场监督管理局,县市区派驻乡镇街道机关,基层所工作人员2,公共管理类,公务员,,,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073182876255,073183678123,2021,,,
长沙,浏阳市市场监督管理局,县市区派驻乡镇街道机关,基层所工作人员3,经济学类,公务员,,,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073182876255,073183678123,2021,,,
长沙,浏阳市市场监督管理局,县市区派驻乡镇街道机关,基层所工作人员4,法学类,公务员,,,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073182876255,073183678123,2021,,,
长沙,浏阳市城市管理和综合执法局,县市区机关,机关工作人员,不限,公务员,,,“四项目”人员及大学生退役士兵,1,2年以上,不限,大学本科,35周岁,学士,长沙市,不限,服务期满两年、考核合格的“三支一扶”、“大学生志愿服务西部”计划人员，服务期满三年、考核合格的“大学生村官”、“农村义务教育阶段学校教师特设岗位”计划人员或在军队服役满2年（含）以上的普通高校毕业生退役士兵,5年,5:1,否,公务员录用体检通用标准,073182876255,073183678123,2021,,,
长沙,浏阳市乡镇（街道）,乡镇办机关,乡镇（街道）工作人员1,不限,公务员,,,2021届普通高校毕业生,6,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073182876255,073183678123,2021,,,
长沙,浏阳市乡镇（街道）,乡镇办机关,乡镇（街道）工作人员2,不限,公务员,,,不限,20,不限,不限,大学本科,35周岁,学士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073182876255,073183678123,2021,,,
长沙,浏阳市乡镇（街道）,乡镇办机关,乡镇（街道）财务工作人员,"经济学类,工商管理类",公务员,,,不限,3,不限,不限,大学本科,35周岁,学士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073182876255,073183678123,2021,,,
长沙,浏阳市乡镇（街道）,乡镇办机关,乡镇（街道）职位（村、社区干部）,不限,公务员,,,村（社区）干部,3,2年以上,不限,高中或中专,40周岁,不限,不限,不限,本县（市、区）现任村（社区）“两委”成员，且连续任职满3年或累计任职满5年,5年,3:1,否,公务员录用体检通用标准,073182876255,073183678123,2021,,,
长沙,浏阳市乡镇（街道）,乡镇办机关,乡镇（街道）职位（事业站所人员）,不限,公务员,,,乡镇（街道）事业站所工作人员,15,2年以上,不限,大学专科,40周岁,不限,不限,不限,在本县（市、区）乡镇（街道）事业站所（含县市区直机关派驻乡镇、街道单位，也包括乡镇、街道机构改革后更名为中心、大队的乡镇、街道所属事业单位）连续工作3年以上、且近3年年度考核均为合格及以上的在编在岗的工作人员,5年,3:1,否,公务员录用体检通用标准,073182876255,073183678123,2021,,,
长沙,浏阳市乡镇（街道）,乡镇办机关,乡镇（街道）人武专干（退役士兵）,不限,公务员,,,退役士兵,3,2年以上,不限,大学本科,35周岁,学士,长沙市,不限,无,5年,5:1,是,公务员录用体检通用标准,073182876255,073183678123,2021,,,
长沙,宁乡市乡镇,乡镇办机关,大屯营镇（2021年毕业生1）,农学大类,公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073188981521,,2021,,,
长沙,宁乡市乡镇,乡镇办机关,大屯营镇（2021年毕业生2）,不限,公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073188981521,,2021,,,
长沙,宁乡市乡镇,乡镇办机关,道林镇（2021年毕业生1）,"新闻学,广播电视学,网络与新媒体",公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073188981521,,2021,,,
长沙,宁乡市乡镇,乡镇办机关,道林镇（2021年毕业生2）,不限,公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073188981521,,2021,,,
长沙,宁乡市乡镇,乡镇办机关,花明楼镇（2021年毕业生1）,农学大类,公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073188981521,,2021,,,
长沙,宁乡市乡镇,乡镇办机关,花明楼镇（2021年毕业生2）,政治学类,公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073188981521,,2021,,,
长沙,宁乡市乡镇,乡镇办机关,花明楼镇（2021年毕业生3）,不限,公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073188981521,,2021,,,
长沙,宁乡市乡镇,乡镇办机关,东湖塘镇（2021年毕业生1）,农学大类,公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073188981521,,2021,,,
长沙,宁乡市乡镇,乡镇办机关,东湖塘镇（2021年毕业生2）,不限,公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073188981521,,2021,,,
长沙,宁乡市乡镇,乡镇办机关,夏铎铺镇（2021年毕业生1）,不限,公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073188981521,,2021,,,
长沙,宁乡市乡镇,乡镇办机关,夏铎铺镇（2021年毕业生2）,政治学类,公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073188981521,,2021,,,
长沙,宁乡市乡镇,乡镇办机关,金洲镇（2021年毕业生1）,不限,公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073188981521,,2021,,,
长沙,宁乡市乡镇,乡镇办机关,金洲镇（2021年毕业生2）,旅游管理类,公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073188981521,,2021,,,
长沙,宁乡市乡镇,乡镇办机关,双江口镇（2021年毕业生1）,农学大类,公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073188981521,,2021,,,
长沙,宁乡市乡镇,乡镇办机关,双江口镇（2021年毕业生2）,不限,公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073188981521,,2021,,,
长沙,宁乡市乡镇,乡镇办机关,双江口镇（2021年毕业生3）,农业经济管理类,公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073188981521,,2021,,,
长沙,宁乡市乡镇,乡镇办机关,菁华铺乡（2021年毕业生）,农学大类,公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073188981521,,2021,,,
长沙,宁乡市乡镇,乡镇办机关,回龙铺镇（2021年毕业生1）,农学大类,公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073188981521,,2021,,,
长沙,宁乡市乡镇,乡镇办机关,回龙铺镇（2021年毕业生2）,不限,公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073188981521,,2021,,,
长沙,宁乡市乡镇,乡镇办机关,回龙铺镇（2021年毕业生3）,经济学类,公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073188981521,,2021,,,
长沙,宁乡市乡镇,乡镇办机关,煤炭坝镇（2021年毕业生1）,农学大类,公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073188981521,,2021,,,
